TIME,MOS,HOLD,QDC,QTC,ACTION
3,False,False,IGNORE,IGNORE,STILL
4,False,False,MEDIUM,-,WALK
5,True,False,MEDIUM,-,WALK
6,True,False,NEAR,-,WALK
7,True,False,NEAR,-,WALK
8,True,False,TOUCH,0,WALK
9,False,False,TOUCH,0,PICK
10,False,False,TOUCH,0,PICK
11,False,False,TOUCH,0,PICK
12,False,True,TOUCH,0,TRANSPORT
13,False,True,TOUCH,0,TRANSPORT
14,True,True,TOUCH,0,TRANSPORT
15,True,True,TOUCH,0,TRANSPORT
16,True,True,TOUCH,0,TRANSPORT
17,True,True,TOUCH,0,TRANSPORT
18,True,True,TOUCH,0,TRANSPORT
19,True,True,TOUCH,0,TRANSPORT
20,True,True,TOUCH,0,TRANSPORT
21,True,True,TOUCH,0,TRANSPORT
22,True,True,TOUCH,0,TRANSPORT
23,True,True,TOUCH,0,TRANSPORT
24,True,True,TOUCH,0,TRANSPORT
25,True,True,TOUCH,0,TRANSPORT
26,True,True,TOUCH,0,TRANSPORT
27,True,True,TOUCH,0,TRANSPORT
28,True,True,TOUCH,0,TRANSPORT
29,True,True,TOUCH,0,PLACE
30,False,True,TOUCH,0,PLACE
31,False,False,TOUCH,0,PLACE
32,False,False,IGNORE,IGNORE,STILL
33,False,False,IGNORE,IGNORE,STILL
34,False,False,IGNORE,IGNORE,STILL
35,False,False,IGNORE,IGNORE,STILL
36,False,False,IGNORE,IGNORE,STILL
37,False,False,IGNORE,IGNORE,STILL
38,False,False,IGNORE,IGNORE,STILL
39,False,False,IGNORE,IGNORE,STILL
